ingredient,singulier,pluriel
quatre-quart,quatre-quart,quatre-quarts
quatre-épices,quatre-épices,quatre-épicess
quenelle,quenelle,quenelles
quetsch,quetsch,quetschs
queue,queue,queues
quinoer,quinoer,quinoers
quinquina,quinquina,quinquinas
quorn,quorn,quorns
racine,racine,racines
raclette,raclette,raclettes
radis,radis,radiss
raffaelo,raffaelo,raffaelos
ragondin,ragondin,ragondins
raie,raie,raies
raifort,raifort,raiforts
raisin,raisin,raisins
raisiner,raisiner,raisiners
rameau,rameau,rameaux
ramen,ramen,ramens
rapadura,rapadura,rapaduras
ras,ras,ras
rascalat,rascalat,rascalats
rascasse,rascasse,rascasses
ratafia,ratafia,ratafias
ratatouille,ratatouille,ratatouilles
rate,rate,rates
ratte,ratte,rattes
raviole,raviole,ravioles
ravioli,ravioli,raviolis
reblochon,reblochon,reblochons
reine,reine,reines
relish,relish,relishs
renne,renne,rennes
requin,requin,requins
rhubarbe,rhubarbe,rhubarbes
rhum,rhum,rhums
rice,rice,rices
ricorer,ricorer,ricorers
ricotta,ricotta,ricottas
riesling,riesling,rieslings
rigatoni,rigatoni,rigatonis
rillettes,rillette,rillettes
rillons,rillons,rillons
ris,ris,riss
risotto,risotto,risottos
riz,riz,riz
rocamadour,rocamadour,rocamadours
rognon,rognon,rognons
romain,romain,romains
romarin,romarin,romarins
rooibo,rooibo,rooibos
roquefort,roquefort,roqueforts
roquette,roquette,roquettes
rosbif,rosbif,rosbifs
rose,rose,roses
rosette,rosette,rosettes
roucaou,roucaou,roucaous
roucoulon,roucoulon,roucoulons
roudor,roudor,roudors
rouelle,rouelle,rouelles
rouget,rouget,rougets
rouille,rouille,rouilles
rouleau,rouleau,rouleaux
rouy,rouy,rouys
rue,rue,rues
rumsteak,rumsteak,rumsteaks
rumsteck,rumsteck,rumstecks
rutabaga,rutabaga,rutabagas
râble,râble,râbles
réglisse,réglisse,réglisses
rôti,rôti,rôtis
rösti,rösti,röstis
sablé,sablé,sablés
sabodet,sabodet,sabodets
sabre,sabre,sabres
sachet,sachet,sachets
safran,safran,safrans
saindoux,saindoux,saindoux
saint,saint,saints
saint-felicien,saint-felicien,saint-feliciens
saint-florentin,saint-florentin,saint-florentins
saint-marcellin,saint-marcellin,saint-marcellins
Saint-nectaire,Saint-nectaire,Saint-nectaires
saint-paulin,saint-paulin,saint-paulins
saint-pierre,saint-pierre,saint-pierres
sainte-maure,sainte-maur,sainte-maurs
saka,saka,sakas
sakura,sakura,sakuras
saké,saké,sakés
salade,salade,salades
salami,salami,salamis
salers,salers,salers
salicorne,salicorne,salicornes
salpicão,salpicão,salpicãos
salpêtre,salpêtre,salpêtres
salsifis,salsifis,salsifis
sambal,sambal,sambaux
sancerre,sancerre,sancerres
sandre,sandre,sandres
sang,sang,sangs
sanglier,sanglier,sangliers
sangria,sangria,sangrias
sanguin,sanguin,sanguins
sar,sar,sars
sardine,sardine,sardines
sarrasin,sarrasin,sarrasins
sarriette,sarriette,sarriettes
satay,satay,satays
saté,saté,satés
sauce,sauce,sauces
sauceline,sauceline,saucelines
saucisse,saucisse,saucisses
saucisson,saucisson,saucissons
sauge,sauge,sauges
saumon,saumon,saumons
saumonette,saumonette,saumonettes
saurel,saurel,saurels
sauté,sauter,sauter
sauterelle,sauterelle,sauterelles
sauterne,sauterne,sauternes
savon,savon,savons
savora,savora,savoras
sbrinz,sbrinz,sbrinzs
scamorza,scamorza,scamorzas
scampi,scampi,scampis
scarole,scarole,scaroles
schnaps,schnaps,schnaps
schweppes,schweppes,schweppes
scorsonère,scorsonère,scorsonères
seiche,seiche,seiches
seigle,seigle,seigles
seitan,seitan,seitans
sel,sel,sels
selle,selle,selles
selles-sur-cher,selles-sur-cher,selles-sur-chers
semoule,semoule,semoules
serpent,serpent,serpents
serpolet,serpolet,serpolets
serran,serran,serrans
seven,seven,sevens
sherry,sherry,sherrys
shichimi,shichimi,shichimis
shiitaké,shiitaké,shiitakés
shiso,shiso,shisos
shortbread,shortbread,shortbreads
siave,siave,siaves
silure,silure,silures
sirop,sirop,sirops
skyr,skyr,skyrs
smartie,smartie,smarties
smoothie,smoothie,smoothies
snicker,snicker,snickers
soda,soda,sodas
soho,soho,sohos
soja,soja,sojas
soju,soju,sojus
sole,sole,soles
son,son,sons
sorbet,sorbet,sorbets
sot,sot,sots
soubressade,soubressade,soubressades
soumaintrain,soumaintrain,soumaintrains
soupe,soupe,soupes
souris,souris,souriss
spaghetti,spaghetti,spaghettis
spaghettini,spaghettini,spaghettinis
speck,speck,specks
spigol,spigol,spigols
spiruline,spiruline,spirulines
sprat,sprat,sprats
spritz,spritz,spritzs
spätzle,spätzle,spätzles
spéculoo,spéculoo,spéculoos
st,st,sts
stabilisateur,stabilisateur,stabilisateurs
steak,steak,steaks
stilton,stilton,stiltons
stollen,stollen,stollens
stylo,stylo,stylos
stévia,stévia,stévias
sucette,sucette,sucettes
sucre,sucre,sucres
sucrette,sucrette,sucrettes
sucrine,sucrine,sucrines
sujet,sujet,sujets
sumac,sumac,sumacs
supion,supion,supions
surimi,surimi,surimis
sylvaner,sylvaner,sylvaners
sébaste,sébaste,sébastes
sérac,sérac,séracs
séré,séré,sérés
sésame,sésame,sésames
sévereau,sévereau,sévereaux
tabasco,tabasco,tabascos
tabel,tabel,tabels
taboulé,taboulé,taboulés
tacaud,tacaud,tacauds
taco,taco,tacos
tagliatelle,tagliatelle,tagliatelles
tahin,tahin,tahins
tahini,tahini,tahinis
tahiné,tahiné,tahinés
takuan,takuan,takuans
taleggio,taleggio,taleggios
tamari,tamari,tamaris
tamarin,tamarin,tamarins
tanche,tanche,tanches
tandoori,tandoori,tandooris
tapenade,tapenade,tapenades
tapioca,tapioca,tapiocas
tarama,tarama,taramas
taro,taro,taros
tartare,tartare,tartares
tartufater,tartufater,tartufaters
taureau,taureau,taureaux
tellin,tellin,tellins
tempeh,tempeh,tempehs
tendre,tendre,tendres
tendron,tendron,tendrons
thiof,thiof,thiofs
thon,thon,thons
thym,thym,thyms
thé,thé,thés
tige,tige,tiges
tilapia,tilapia,tilapias
tilleul,tilleul,tilleuls
tilsit,tilsit,tilsits
toast,toast,toasts
toastinette,toastinette,toastinettes
toblerone,toblerone,toblerones
tofu,tofu,tofus
tokay,tokay,tokays
tomate,tomate,tomates
tome,tome,tomes
tomme,tomme,tommes
tonic,tonic,tonics
topinambour,topinambour,topinambours
torsade,torsade,torsades
torsette,torsette,torsettes
tortellini,tortellini,tortellinis
tortil,tortil,tortils
tortilla,tortilla,tortillas
tournedos,tournedos,tournedoss
tourteau,tourteau,tourteaux
tranche,tranche,tranches
travers,travers,travers
tripe,tripe,tripes
triple,triple,triples
trompette,trompette,trompettes
truffe,truffe,truffes
truite,truite,truites
trévise,trévise,trévises
tsuyu,tsuyu,tsuyus
tuc,tuc,tucs
tuile,tuile,tuiles
turbot,turbot,turbots
turron,turron,turrons
tzatziki,tzatziki,tzatzikis
téquila,téquila,téquilas
tétine,tétine,tétines
tétragone,tétragone,tétragones
tête,tête,têtes
vache,vache,vaches
vacherin,vacherin,vacherins
vanille,vanille,vanilles
vanilline,vanilline,vanillines
veau,veau,veaux
velours,velours,velours
ventrèche,ventrèche,ventrèches
vergeois,vergeois,vergeois
verjus,verjus,verjus
vermicelle,vermicelle,vermicelles
vermouth,vermouth,vermouths
verveine,verveine,verveines
vet,vet,vets
viande,viande,viandes
viandox,viandox,viandoxs
vieux,vieux,vieux
vif,vif,vif
vin,vin,vins
vinaigre,vinaigre,vinaigres
vinaigrette,vinaigrette,vinaigrettes
violette,violette,violettes
vitpris,vitpris,vitpris
vodka,vodker,vodkers
vol-au-vent,vol-au-vent,vol-au-vents
volaill,volaill,volaills
vouvray,vouvray,vouvrays
végétalin,végétalin,végétalins
vénus,vénus,vénus
wakame,wakame,wakames
wasa,wasa,wasas
wasabi,wasabi,wasabis
whisky,whisky,whiskys
wonton,wonton,wontons
wrap,wrap,wraps
xérès,xérès,xérès
yaourt,yaourt,yaourts
yet,yet,yets
yuzu,yuzu,yuzus
zaatar,zaatar,zaatars
zeste,zest,zests
zgougou,zgougou,zgougous
zuccata,zuccata,zuccatas
échalote,échalote,échalotes
échine,échine,échines
éclat,éclat,éclats
écorce,écorce,écorces
écrevisse,écrevisse,écrevisses
édulcorer,édulcorer,édulcorers
églantine,églantine,églantines
églefin,églefin,églefins
émincé,émincé,émincés
épaule,épaule,épaules
épeautre,épeautre,épeautres
éperlan,éperlan,éperlans
épi,épi,épis
épice,épice,épices
épigramme,épigramme,épigrammes
épinard,épinard,épinards
épine,épine,épines
épluchure,épluchure,épluchures
époisse,époisse,époisses
érable,érable,érables
étoile,étoile,étoiles
étrille,étrille,étrilles
