ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),singulier,pluriel
miel,,"0,56",0,"81,7","79,8",0,,0,0,miel,miels
miette,,"18,3","3,8",,,0,,"1,14",115,miette,miettes
mignonett,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6",mignonett,mignonetts
mikado,,,,,,,,,,mikado,mikados
mil,487,"3,76",1,"22,4","0,13","1,3",,"0,17",0,mil,mils
millet,1480,"10,2","4,1","63,2","0,5","9,7",,"0,76",,millet,millets
mimolette,1290,"24,4","23,4",traces,"< 0,25",0,,"16,8",67,mimolette,mimolettes
mincemeat,,,,,,,,,,mincemeat,mincemeats
mini,1610,"11,2","3,13","74,4","2,02","4,32",,"1,4",,mini,minis
mirabelle,325,"0,63","< 0,5",18,"13,3","2,2",,"< 0,01",,mirabelle,mirabelles
mirin,,,,,,,,,,mirin,mirins
miso,,"11,7","5,31","18,1","6,2","5,4",,"1,01",0,miso,misos
mizithra,,,,,,,,,,mizithra,mizithras
mizuna,,,,,,,,,,mizuna,mizunas
mloukhia,,,,,,,,,,mloukhia,mloukhias
moelle,,,,,,,,,,moelle,moelles
mogette,,,,,,,,,,mogette,mogettes
molokheya,,,,,,,,,,molokheya,molokheyas
monbazillac,,,,,,,,,,monbazillac,monbazillacs
mont,1260,"18,5","25,4",traces,traces,0,,"16,3",,mont,monts
montepulciano,,,,,,,,,,montepulciano,montepulcianos
monterey,,,,,,,,,,monterey,montereys
morbier,1480,"22,4","29,2",traces,traces,0,,"19,2",89,morbier,morbiers
morille,102,"3,16","0,54","0,1","0,044","3,35",,"0,16",,morille,morilles
mortadelle,1260,15,"26,7","1,4",0,0,,"10,6","72,5",mortadelle,mortadelles
morue,871,"47,6","1,67",traces,0,0,,"0,31",105,morue,morues
moscatel,,,,,,,,,,moscatel,moscatels
moule,457,"17,2","2,09","5,12",,0,,"0,37","52,1",moul,mouls
mouloukhia,,,,,,,,,,mouloukhia,mouloukhias
mousse,1270,"6,39","18,6","25,6","21,5","3,8",,"15,4",,mousse,mousses
mousseron,,,,,,,,,,mousseron,mousserons
mousseux,,"0,2",0,"5,1","5,1",0,,0,0,mousseux,mousseuxs
moutarde,632,"6,92","9,9","2,2","2,2","4,5",,"0,61","5,44",moutarde,moutardes
mouton,550,"12,8","6,83","4,5","2,4",< 1,,"2,73","57,8",mouton,moutons
mouzillon,,,,,,,,,,mouzillon,mouzillons
mozzarella,949,"16,1","17,7","0,75","0,7",0,,"11,7",79,mozzarella,mozzarellas
moût,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0,moût,moûts
muesli,1760,"7,49","12,2","66,6","25,9","6,4",,"5,04","1,76",muesli,mueslis
muffin,949,"11,6","1,88","39,6","4,25","3,18",,"0,42",,muffin,muffins
mulet,602,"24,8","4,86",traces,0,0,,"1,43",63,mulet,mulets
munster,1430,"20,7",29,traces,0,0,,"18,8",96,munster,munsters
murène,,,,,,,,,,murène,murènes
musc,,,,,,,,,,musc,muscs
muscade,2080,"6,26","36,3","28,5","2,99","20,8",,"25,9",0,muscade,muscades
muscadet,,,,,,,,,,muscadet,muscadets
muscat,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",,muscat,muscats
muscovado,,,,,,,,,,muscovado,muscovados
museau,637,"26,2","5,17",0,,traces,,,,museau,museaux
myrtille,244,"0,87","0,33","10,6","9,96","2,4",,"0,028",0,myrtill,myrtills
mâch,"70,1",2,"< 0,5","0,5",traces,"2,3",,"< 0,01",0,mâch,mâchs
mélange,1440,"12,4","10,4","37,7","2,14","25,9",,"4,84",0,mélange,mélanges
mélasse,,0,"0,1","74,7","74,7",0,,"0,018",0,mélasse,mélasses
méliss,,,,,,,,,,méliss,mélisss
mérou,349,"18,6","0,86",traces,0,0,,"0,2",37,mérou,mérous
mûre,198,"1,13","0,7","6,53","6,1","5,2",,"0,07",0,mûre,mûres
nage,,,,,,,,,,nage,nages
nappage,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5",nappage,nappages
nashi,,,,,,,,,,nashi,nashis
navarin,554,"8,05","8,61",5,"0,9","1,65",,"1,4","40,3",navarin,navarins
naveline,,"0,9","0,2","3,8","2,9","2,2",,"0,008",0,naveline,navelines
navet,,"0,9","0,2","3,8","2,9","2,2",,"0,008",0,navet,navets
navette,,"0,9","0,2","3,8","2,9","2,2",,"0,008",0,navette,navettes
nectarine,,"1,16","0,31","8,9","7,89","1,7",,"0,025",0,nectarine,nectarines
nem,904,"6,48","11,2","21,1","3,02","2,54",,"2,9",28,nem,nems
nesquik,,,,,,,,,,nesquik,nesquiks
neuchâtel,,,,,,,,,,neuchâtel,neuchâtels
neufchâtel,1200,"18,1","23,9",traces,,0,,20,84,neufchâtel,neufchâtels
niébé,,,,,,,,,,niébé,niébés
njuda,,,,,,,,,,njuda,njudas
noilly,,,,,,,,,,noilly,noillys
noisette,,17,"56,9","7,16","4,9","11,6",,"4,75",0,noisette,noisettes
noix,376,"17,5","0,7","3,1",0,0,,"0,3",,noix,noixs
nopal,,,,,,,,,,nopal,nopaux
nori,1060,"31,5","1,63","10,5",,"36,3",,,,nori,noris
nougat,1100,"4,83","15,2","25,3","20,5","2,76",,11,"22,7",nougat,nougats
nougatine,,,,,,,,,,nougatine,nougatines
nouille,612,"3,06","0,41","31,8","< 0,2","0,8",,"0,076","0,75",nouille,nouilles
nugget,1000,"13,1","13,2","16,2","1,07","1,7",,"2,42","52,1",nugget,nuggets
nuoc,573,"1,38","< 0,5","31,2","30,9","< 0,25",,"< 0,01",,nuoc,nuocs
nutella,,"5,02","32,4","57,9","56,2","3,23",,"9,18",0,nutella,nutellas
nèfle,,,,,,,,,,nèfle,nèfles
oeillet,,,,,,,,,,oeillet,oeillets
oeuf,2320,"7,81","36,1","45,3","39,5","7,39",,"22,3","11,5",oeuf,oeufs
oie,961,29,"12,7",0,,0,,,96,oie,oies
oignon,169,"1,56","< 0,3","6,73",5,"2,8",,"< 0,01",,oignon,oignons
oiseau,779,21,"11,4",traces,,0,,"4,18",102,oiseau,oiseaux
oka,,,,,,,,,,oka,okas
okara,,,,,,,,,,okara,okaras
okay,0,0,0,0,0,0,,0,0,okay,okays
olive,,"1,49","19,5","0,05",0,"6,97",,"2,35","0,35",olive,olives
ombl,436,"19,8","2,7",traces,0,0,,"2,2",48,ombl,ombls
onglet,717,23,"8,8",traces,,0,,,76,onglet,onglets
orange,192,"0,75","< 0,5","8,03","7,6","2,7",,"< 0,01",0,orange,oranges
orangeade,,,,,,,,,,orangeade,orangeades
orangeat,,,,,,,,,,orangeat,orangeats
orangette,,,,,,,,,,orangette,orangettes
orangina,198,"0,067","0,028","11,3","9,92",traces,,traces,0,orangina,oranginas
orecchiette,,,,,,,,,,orecchiette,orecchiettes
oreille,951,"22,5","15,1","0,6",,0,,"5,39",82,oreille,oreilles
oreo,,"6,47","25,9",59,"31,5","3,38",,"12,9","17,3",oreo,oreos
orge,500,"2,42","0,44","24,4","0,28","3,8",,"0,093",0,orge,orges
origan,1100,9,"4,28","26,4","4,09","42,5",,"1,55",0,origan,origans
ormeau,422,"14,4","0,83","8,69",0,0,,"0,15",85,ormeau,ormeaux
oronge,"97,2",2,"0,3","2,45",1,"1,7",,"0,07",0,oronge,oronges
orphie,558,20,"5,91",traces,0,0,,"1,81",82,orphie,orphies
ortie,,,,,,,,,,ortie,orties
orzo,,,,,,,,,,orzo,orzos
oréo,,,,,,,,,,oréo,oréos
os,992,"21,6","16,8","0,3",0,0,,"5,98",62,os,oss
oseille,,"1,84","0,65","1,6","1,54","1,8",,"0,1",0,oseille,oseilles
ossau,1780,"23,8",37,traces,0,0,,"24,4","94,4",ossau,ossaus
osso,406,"11,2","4,08","3,5","1,1","0,6",,"0,8",26,osso,ossos
ouassou,,,,,,,,,,ouassou,ouassous
oursin,,,,,,,,,,oursin,oursins
ourson,,"3,67","1,42","78,7","65,6","0,23",,"0,067",0,ourson,oursons
ouzo,,,,,,,,,,ouzo,ouzos
pageot,,,,,,,,,,pageot,pageots
paille,1490,"17,1","32,3",traces,,0,,,,paille,pailles
pain,,"1,41","7,32","7,5","3,68","3,34",,"0,88","< 0,7",pain,pains
pak,,"1,38","0,2","1,65","1,18","1,05",,"0,031",0,pak,paks
paleron,1050,"36,8","11,4","0,2",0,0,,"4,5",113,paleron,palerons
palet,,"5,13",8,32,"21,5","3,4",,"4,79","68,4",palet,palets
palette,868,"24,8","12,1",traces,,0,,"4,57","71,1",palette,palettes
palombe,,,,,,,,,,palombe,palombes
palourd,420,"16,2","1,48","5,33",0,0,,"0,14","50,5",palourd,palourds
pamplemousse,169,"< 0,5","< 0,5","8,02","6,6","0,8",,"< 0,01",0,pamplemousse,pamplemousses
panais,383,"1,94","0,5","16,6","6,2","5,6",,"0,13",,panais,panaiss
pancake,,,,,,,,,,pancake,pancakes
pancetta,1420,"20,2","28,8","0,75","0,43",0,,"12,5","75,2",pancetta,pancettas
pandan,,,,,,,,,,pandan,pandans
pandoro,,,,,,,,,,pandoro,pandoros
panettone,,,,,,,,,,panettone,panettones
panga,335,"17,5",1,traces,0,0,,"0,51","40,8",panga,pangas
pangasiu,276,"13,5","1,27",traces,0,0,,"0,47","29,8",pangasiu,pangasius
panko,1560,"12,7","3,77",70,"6,9","4,5",,"0,94",0,panko,pankos
pann,1410,"7,25",24,"21,7","1,9","3,4",,"5,28","49,3",pann,panns
panse,,,,,,,,,,panse,panses
pansette,,,,,,,,,,pansette,pansettes
panure,,,,,,,,,,panure,panures
papaye,178,"0,75","< 0,3","8,53","8,1","1,8",,"< 0,01",0,papaye,papayes
papier,,,,,,,,,,papier,papiers
papiller,,,,,,,,,,papiller,papillers
pappardelle,,,,,,,,,,pappardell,pappardells
papriker,1320,"14,1","12,9","19,1","10,3","34,9",,"2,14",0,papriker,paprikers
pariétair,,,,,,,,,,pariétair,pariétairs
parmesan,1700,"30,5",31,traces,traces,0,,"20,6","95,3",parmesan,parmesans
parmigiano,110,"0,9","< 0,5","3,8","3,7","2,6",,"< 0,0002",< 700,parmigiano,parmigianos
parppardell,,,,,,,,,,parppardell,parppardells
parure,,,,,,,,,,parure,parures
passata,,,,,,,,,,passata,passatas
passe-pierre,1230,"18,5","24,5",traces,,0,,"16,8","99,7",passe-pierre,passe-pierres
passetougrain,,,,,,,,,,passetougrain,passetougrains
passoa,,,,,,,,,,passoa,passoas
pastis,1140,0,0,"2,86",0,0,,0,0,pastis,pastiss
pastrami,,,,,,,,,,pastrami,pastramis
pastèqu,165,"0,69","< 0,5","8,33","7,9","0,5",,"< 0,01",0,pastèqu,pastèqus
patate,265,"1,69","0,15","12,2","6,11","2,9",,"0,042",0,patate,patates
patidou,,,,,,,,,,patidou,patidous
patrell,,,,,,,,,,patrell,patrells
paupiette,801,"14,5","13,8","2,6","0,41","0,2",,"5,45","63,3",paupiette,paupiettes
pavot,2280,"19,7","43,1","13,7","2,99","14,8",,"4,69",0,pavot,pavots
pavé,805,25,"10,3",traces,0,0,,,,pavé,pavés
peau,383,"1,06","< 0,5","19,7","15,6","2,7",,"< 0,01",0,peau,peaux
pecorino,,,"28,8",traces,0,0,,"18,3",104,pecorino,pecorinos
pectine,,,,,,,,,,pectine,pectines
peepermint,,,,,,,,,,peepermint,peepermints
penn,,,,,,,,,,penn,penns
pensée,,,,,,,,,,pensée,pensées
pepino,,,,,,,,,,pepino,pepinos
pepperoni,,,,,,,,,,pepperoni,pepperonis
perche,349,"19,1","0,68",traces,0,0,,"0,22","63,7",perche,perches
perdreau,,,,,,,,,,perdreau,perdreaux
perdrix,,,,,,,,,,perdrix,perdrixs
perle,500,"2,42","0,44","24,4","0,28","3,8",,"0,093",0,perle,perles
perrier,0,0,0,0,0,0,,0,0,perrier,perriers
persil,180,"3,71","0,63","3,48","0,95","4,3",,"0,1",0,persil,persils
persillade,1170,"9,56","24,8","4,43","0,3","1,26",,"16,6","88,5",persillade,persillades
pesto,1530,"3,94","35,4","6,6","3,2","2,5",,"4,39","18,2",pesto,pestos
petit,392,"6,56","2,8","9,34","9,3",1,,"1,79","11,7",petit,petits
petit-épeautre,1430,"15,6","2,43","59,5","6,68","10,7",,"0,41",0,petit-épeautre,petit-épeautres
philadelphia,,,,,,,,,,philadelphia,philadelphias
philadephia,,,,,,,,,,philadephia,philadephias
physalis,,,,,,,,,,physalis,physaliss
piadina,,,,,,,,,,piadina,piadinas
piball,,,,,,,,,,piball,piballs
piccalilli,,,,,,,,,,piccalilli,piccalillis
pickle,,,,,,,,,,pickle,pickles
picodon,1320,"20,3",26,traces,"< 0,5",0,,"19,2",137,picodon,picodons
picon,,,,,,,,,,picon,picons
pied,769,"19,1",12,traces,,0,,,,pied,pieds
pied-de-mouton,848,"18,1","14,6",traces,,0,,,,pied-de-mouton,pied-de-moutons
pigeon,887,"23,9",13,0,0,0,,"3,74",116,pigeon,pigeons
pigeonneau,,,,,,,,,,pigeonneau,pigeonneaux
pignon,,"16,2",65,"6,31","5,21",10,,"5,53",0,pignon,pignons
pil,,,,,,,,,,pil,pils
pili,,,,,,,,,,pili,pilis
pilon,648,"18,4","9,05",0,0,0,,"2,49",88,pilon,pilons
piment,,"1,87","0,32","7,7","5,3","1,65",,"0,031",0,piment,piments
pimiento,,,,,,,,,,pimiento,pimientos
pimprenelle,,,,,,,,,,pimprenelle,pimprenelles
pineau,,5,"23,3","29,8","9,9","2,45",,"13,4",,pineau,pineaux
pinot,381,"0,69","< 0,5",20,"19,6","2,7",,"< 0,01",,pinot,pinots
pintade,601,"22,8","5,75",0,0,0,,"1,55","68,5",pintade,pintades
pintadeau,,,,,,,,,,pintadeau,pintadeaux
pipe,,,,,,,,,,pipe,pipes
piperade,,"1,1","3,8","6,5","4,9","3,4",,2,"2,09",piperade,piperades
piquillo,,,,,,,,,,piquillo,piquillos
pisang,,,,,,,,,,pisang,pisangs
pisco,,,,,,,,,,pisco,piscos
pissenlit,,"2,91","0,85","6,1","0,71","2,7",,"0,17",0,pissenlit,pissenlits
pistache,,"21,7","47,4","18,6","7,74","10,1",,"5,52",0,pistache,pistaches
pistille,1490,"11,4","5,85","61,5","42,4","3,9",,"1,59",0,pistill,pistills
pistou,134,2,"0,5","4,1","< 0,25","1,5",,"0,2",,pistou,pistous
pitaya,,,,,,,,,,pitaya,pitayas
pizza,979,"10,8","8,39","27,3","2,93","2,38",,"3,93","20,8",pizza,pizzas
planter,,,,,,,,,,planter,planters
plat,1130,"37,3","13,3",0,0,0,,"5,58",66,plat,plats
pleurote,107,"3,06","0,36","1,5","0,71","2,4",,"0,062",0,pleurote,pleurotes
plier,1010,"13,4","16,8","8,86",,1,,2,60,plier,pliers
plum,,"2,66","7,45","7,03","3,83","1,68",,"2,86","12,8",plum,plums
pointe,,,,,,,,,,pointe,pointes
poire,,"0,3","0,12","14,5","12,1","1,23",,"0,002",0,poire,poires
poireau,114,"2,56","< 0,3","2,23","1,8","3,4",,"< 0,01",,poireau,poireaux
poiré,,"0,49","0,27","10,9","9,01","2,9",,"0,067",0,poiré,poirés
pois,618,"8,31",3,"17,7","0,3","8,2",,"0,46",,pois,poiss
poisson,604,"23,5","5,52",0,0,0,,"1,21","57,5",poisson,poissons
poitrine,794,"29,8","7,78",0,0,0,,"2,19",84,poitrine,poitrines
poivre,1480,"10,1","34,6","1,45",,traces,,,,poivr,poivrs
poivron,151,"0,94","< 0,3","6,53","6,1",2,,"< 0,01",,poivron,poivrons
polenta,328,"1,38","< 0,3","16,9","0,1","1,6",,"< 0,01","2,28",polenta,polentas
pomelo,,"0,76","0,04","8,62",,1,,,0,pomelo,pomelos
pomme,254,"< 0,5","< 0,5","12,8","12,3","2,9",,"< 0,01",,pomme,pommes
pommeau,,,,,,,,,,pommeau,pommeaux
pommette,,,,,,,,,,pommette,pommettes
pomélo,,"0,76","0,04","8,62",,1,,,0,pomélo,pomélos
pont,1360,"22,2","26,2",traces,"< 0,2",0,,"18,2","84,7",pont,ponts
pop,1770,3,"6,5","85,4",62,3,,1,,pop,pops
porc,860,"29,1","9,78","0,24",,0,,"3,52",78,porc,porcs
porcelet,,,,,,,,,,porcelet,porcelets
port-salut,,,,,,,,,,port-salut,port-saluts
porto,,,,,,,,,,porto,portos
pot-au-feu,326,"10,9","2,02","3,2","1,5","1,5",,"0,82","28,8",pot-au-feu,pot-au-feux
potatoe,732,"3,25","5,8","25,3",traces,"3,4",,"0,64","< 0,7",potatoe,potatoes
potimarron,161,"1,06","0,3","6,88","3,5","1,8",,"0,08",,potimarron,potimarrons
potiron,127,"< 0,5","< 0,3","5,66","4,8",2,,"< 0,01",,potiron,potirons
poudre,1270,"2,06","28,2","10,6","10,4",< 3,,"18,9",76,poudre,poudres
poularde,,,,,,,,,,poularde,poulardes
poule,523,"20,9","4,51",0,0,0,,"1,12",64,poule,poules
poulet,785,"24,8","9,52","0,7",0,0,,,133,poulet,poulets
poulpe,659,"29,8","2,08","4,4",0,0,,"0,45",96,poulpe,poulpes
poumon,,,,,,,,,,poumon,poumons
pourpier,,,,,,,,,,pourpier,pourpiers
pousse,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0,pousse,pousses
pousse-rapière,,"1,61","0,15","1,9","1,15","1,25",,"0,041",0,pousse-rapière,pousse-rapières
poussin,,,,,,,,,,poussin,poussins
poutargue,,,,,,,,,,poutargue,poutargues
praire,420,"16,2","1,48","5,33",0,0,,"0,14","50,5",praire,praires
pralin,,"9,1","34,7","51,5","46,2","2,1",,"13,6",,pralin,pralins
praline,,"9,1","34,7","51,5","46,2","2,1",,"13,6",,praline,pralines
pralinoise,,,,,,,,,,pralinoise,pralinoises
praliné,,"9,1","34,7","51,5","46,2","2,1",,"13,6",,praliné,pralinés
prosciutto,,,,,,,,,,prosciutto,prosciuttos
prosecco,,,,,,,,,,prosecco,proseccos
protéine,600,"20,4","2,9","7,03","3,65","5,61",,"0,47",,protéine,protéines
provolone,1420,"25,1","26,6",traces,0,0,,"17,1",69,provolone,provolones
prune,,"0,66","0,29","9,92","9,92","1,5",,"0,038",0,prune,prunes
pruneau,969,"1,63","0,4","55,4","38,1","5,1",,"0,16",0,pruneau,pruneaux
prunell,,,,,,,,,,prunell,prunells
préparation,,"8,5","14,1","58,1","28,1","1,3",,"6,51","54,7",préparation,préparations
présure,,,,,,,,,,présure,présures
psyllium,,,,,,,,,,psyllium,psylliums
pulpe,110,"1,2","< 0,5","3,63","3,2","1,8",,"< 0,01",0,pulpe,pulpes
punch,,"0,6","< 0,6","17,8","17,8","< 0,5",,"< 0,00024",,punch,punchs
purée,,"1,13","0,7","59,8",43,"3,2",,0,,purée,purées
pâte,259,"< 0,63","0,1","14,4",,"0,8",,,,pâte,pâtes
pâtisson,,,,,,,,,,pâtisson,pâtissons
pâté,1350,"13,6","27,9","4,61","1,23","0,29",,"10,4",145,pâté,pâtés
pèpè,,,,,,,,,,pèpè,pèpès
pélardon,1430,"23,3","27,8",traces,0,0,,"18,6",117,pélardon,pélardons
pépite,1460,"8,56","11,2","51,6",17,3,,"0,92","42,8",pépite,pépites
pétale,0,0,0,0,0,0,,,,pétale,pétales
pêche,,"0,31","0,038","14,1","12,9","0,92",,"0,003",0,pêche,pêches
quasi,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6",quasi,quasis
quatre-quart,,"5,94","25,6",46,"26,8","1,1",,"15,8",178,quatre-quart,quatre-quarts
quatre-quarts,,"5,94","25,6",46,"26,8","1,1",,"15,8",178,quatre-quarts,quatre-quartss
quatre-épices,1460,"6,09","8,69","50,5",,"21,6",,"2,55",0,quatre-épices,quatre-épicess
quenelle,780,"9,3","10,1","14,1","1,2","1,1",,"1,5",,quenelle,quenelles
quetsch,,,,,,,,,,quetsch,quetschs
queue,449,"21,8","1,52","1,3",0,0,,"0,26",80,queue,queues
quinoer,625,5,"1,1","27,9","0,87","3,8",,"0,14",0,quinoer,quinoers
quinquina,,,,,,,,,,quinquina,quinquinas
quorn,,,,,,,,,,quorn,quorns
racine,137,"1,1","1,1","3,4",1,"2,7",,"0,09",0,racine,racines
raclette,1430,"22,9","27,5",traces,traces,0,,"18,5","99,6",raclette,raclettes
radis,123,"0,94","< 0,3","5,52","4,3","1,2",,"< 0,01",,radis,radiss
raffaelo,,,,,,,,,,raffaelo,raffaelos
ragondin,,,,,,,,,,ragondin,ragondins
raie,415,"23,2","0,57",traces,0,0,,"0,12",67,raie,raies
raifort,,"7,5","0,7",13,,"7,5",,"0,11",0,raifort,raiforts
raisin,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0,raisin,raisins
raisiner,,"0,72","0,16","15,7","15,5","0,9",,"0,054",0,raisiner,raisiners
rameau,0,0,0,0,0,0,,,,rameau,rameaux
ramen,,,,,,,,,,ramen,ramens
rapadura,,,,,,,,,,rapadura,rapaduras
ras,,,,,,,,,,ras,rass
rascalat,,,,,,,,,,rascalat,rascalats
rascass,533,"24,6","3,1",traces,0,0,,"0,61","48,9",rascass,rascasss
ratafia,,,,,,,,,,ratafia,ratafias
ratatouille,,"1,22","3,15","4,97","3,91","2,03",,"0,47","0,07",ratatouille,ratatouilles
rate,,,,,,,,,,rate,rates
ratte,,,,,,,,,,ratte,rattes
raviole,951,10,"8,3","26,8","4,4","1,9",,"4,64","36,2",raviole,ravioles
ravioli,837,"7,98","6,53","25,7","2,82","2,52",,"2,88",30,ravioli,raviolis
reblochon,1360,"19,9","27,4",traces,0,0,,"18,8","89,9",reblochon,reblochons
reine,301,"0,94","< 0,5","16,4","10,4","1,7",,"< 0,01","< 0,22",reine,reines
relish,,,,,,,,,,relish,relishs
renn,,,,,,,,,,renn,renns
requin,461,"20,8","2,91",traces,0,0,,"0,48",51,requin,requins
rhubarbe,,"0,78","0,23","1,47","1,47","2,47",,"0,053",0,rhubarbe,rhubarbes
rhum,1060,0,0,0,0,0,,0,0,rhum,rhums
rice,1660,7,"1,5",87,8,1,,"0,3",,rice,rices
ricorer,,,,,,,,,,ricorer,ricorers
ricotta,,"8,61","11,9",4,"2,25",0,,"8,08",51,ricotta,ricottas
riesling,1050,"10,2","12,6","23,7","2,25","1,2",,"6,2",,riesling,rieslings
rigatoni,,,,,,,,,,rigatoni,rigatonis
rillettes,1510,"14,9","33,4","0,99",,traces,,"9,82",101,rillettes,rillettess
rillons,,,,,,,,,,rillons,rillonss
ris,572,21,"5,8",0,0,0,,"1,65",275,ris,riss
risotto,817,"5,93","5,16","30,9","0,58","0,7",,"2,49",,risotto,risottos
riz,1690,"7,51","6,77",75,"24,4","4,98",,"2,42","0,85",riz,rizs
rocamadour,1140,"17,5","22,6",traces,"< 0,14",0,,"17,1","65,5",rocamadour,rocamadours
rognon,701,26,7,0,0,0,,"2,14",396,rognon,rognons
romain,,"1,24","0,3","1,2","1,19","2,1",,"0,04",0,romain,romains
romarin,1350,"4,88","15,2","21,5",,"42,6",,"7,37",0,romarin,romarins
rooibo,,,,,,,,,,rooibo,rooibos
roquefort,1600,"19,1","33,9",traces,traces,0,,"24,9","74,7",roquefort,roqueforts
roquette,,"2,58","0,66","2,1","2,05","1,6",,"0,086",0,roquette,roquettes
rosbif,494,"21,9","3,16","0,3",,0,,"0,62","18,1",rosbif,rosbifs
rose,,"0,77","0,14","6,2","6,2","1,6",,"0,021",0,rose,roses
rosette,1580,"24,2","30,7","1,79","1,46",traces,,"11,8","97,7",rosette,rosettes
roucaou,,,,,,,,,,roucaou,roucaous
roucoulon,1380,"17,8",29,traces,0,0,,"18,5",68,roucoulon,roucoulons
roudor,,,,,,,,,,roudor,roudors
rouelle,1110,"36,9","13,1",traces,,0,,,,rouelle,rouelles
rouget,602,"24,1","5,2",traces,0,0,,"0,73","63,9",rouget,rougets
rouille,,"1,1","41,4",1,,0,,"5,7",,rouille,rouilles
rouleau,437,"4,57","1,82","16,6","3,6","1,2",,"0,66","13,9",rouleau,rouleaux
rouy,,,,,,,,,,rouy,rouys
rue,,,,,,,,,,rue,rues
rumsteak,,,,,,,,,,rumsteak,rumsteaks
rumsteck,482,"22,5","2,5","0,4",0,0,,"0,78",63,rumsteck,rumstecks
rutabaga,,"0,93","0,18","4,26","3,95","1,8",,"0,029",0,rutabaga,rutabagas
râble,466,"21,6","2,67",0,0,0,,"0,93",60,râbl,râbls
régliss,,,,,,,,,,régliss,réglisss
rôti,689,"30,5","4,31","0,65",0,0,,"1,32","65,5",rôti,rôtis
rösti,,,,,,,,,,rösti,röstis
sablé,,"8,38","22,9","59,4",,"3,3",,,98,sablé,sablés
sabodet,,,,,,,,,,sabodet,sabodets
sabre,524,18,"5,9",traces,0,0,,"0,94",,sabre,sabres
sachet,169,"1,35","1,4","4,93","1,5","1,34",,"0,55",0,sachet,sachets
safran,1490,"11,4","5,85","61,5","42,4","3,9",,"1,59",0,safran,safrans
saindoux,3680,0,"99,5",0,0,0,,"41,1",95,saindoux,saindouxs
saint,,"7,49","21,2","1,4","1,4",0,,"11,4","55,9",saint,saints
saint-felicien,1170,"13,1","25,2",traces,0,0,,18,"81,3",saint-felicien,saint-feliciens
saint-florentin,2150,"9,31","28,7","50,7","44,1","7,6",,"10,8","21,4",saint-florentin,saint-florentins
saint-marcellin,1160,"14,8","24,3",traces,"< 0,2",0,,"18,1","93,4",saint-marcellin,saint-marcellins
saint-nectair,1390,"22,3",27,traces,"< 0,5",0,,"17,8",,saint-nectair,saint-nectairs
saint-paulin,1370,"21,8","26,4",traces,traces,0,,"17,9","89,5",saint-paulin,saint-paulins
saint-pierre,1230,"18,5","24,5",traces,,0,,"16,8","99,7",saint-pierre,saint-pierres
sainte-maure,1230,"19,2","24,2",traces,,0,,"18,7",,sainte-maur,sainte-maurs
saka,,,,,,,,,,saka,sakas
sakura,1100,"7,7","2,6","51,1","1,8",1,,"0,8",,sakura,sakuras
saké,552,0,0,5,0,0,,0,0,saké,sakés
salade,,"1,9","0,4","3,63","1,25",2,,"0,052",0,salade,salades
salami,1870,"17,7","41,8","1,05","< 0,2",traces,,"16,2","95,9",salami,salamis
salers,1620,"25,4","31,4",traces,"< 0,2",0,,20,103,salers,salerss
salicorne,,"0,67","0,24","1,1",,"2,46",,,,salicorne,salicornes
salpicão,,,,,,,,,,salpicão,salpicãos
salpêtre,,,,,,,,,,salpêtre,salpêtres
salsifis,243,"2,63","< 0,3","9,29","2,3","4,5",,"< 0,01",,salsifis,salsifiss
sambal,,,,,,,,,,sambal,sambaux
sancerre,,,,,,,,,,sancerre,sancerres
sandre,351,"18,3","1,08",traces,0,0,,"0,21","70,3",sandre,sandres
sang,349,"19,5","0,12","0,8","0,8",0,,"0,04",190,sang,sangs
sanglier,643,"28,3","4,38",0,0,0,,"1,3",77,sanglier,sangliers
sangria,,0,"0,05","10,3","9,5",0,,0,,sangria,sangrias
sanguin,,"0,63","0,1","10,2","9,75","0,68",,"0,043",0,sanguin,sanguins
sar,,,,,,,,,,sar,sars
sardine,683,"19,5","9,48",traces,0,0,,"2,4","78,9",sardine,sardines
sarrasin,1470,"11,5","2,19","68,4","0,03","4,2",,"0,33",0,sarrasin,sarrasins
sarriette,1090,"6,73","5,91",23,,"45,7",,"3,26",0,sarriette,sarriettes
satay,,,,,,,,,,satay,satays
saté,,,,,,,,,,saté,satés
sauce,,"1,25","43,9","7,85","5,23","0,52",,"3,59",32,sauce,sauces
sauceline,,,,,,,,,,sauceline,saucelines
saucisse,1170,"17,3",23,"0,88","0,65","0,29",,"9,44","78,5",saucisse,saucisses
saucisson,1730,"24,2","34,5","2,41","1,2","0,73",,"11,3","99,4",saucisson,saucissons
sauge,152,4,"< 0,5","0,97","0,3",7,,"< 0,01",0,sauge,sauges
